['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', '\\VPOp', '2021-08-01', '2021-09-25', '26', '-6.23', '-13.76', -34, '31', '-1.04', '-2.49', '3', '5', 625, -289, '8', '18', '15.62']
['ETH-USD', '5m', '<VWVI', '2021-08-01', '2021-09-25', '56', '7.58', '-9.56', 61, '36', '1.43', '6.38', '4', '9', 862, -274, '20', '36', '15.62']
['ETH-USD', '5m', '8nscK', '2021-08-01', '2021-09-25', '43', '-1.35', '-14.9', -8, '28', '-0.01', '-0.57', '2', '6', 653, -370, '12', '31', '15.62']
['ETH-USD', '5m', '\\LPVp', '2021-08-01', '2021-09-25', '24', '-2.29', '-12.09', -14, '33', '-0.32', '-1.16', '2', '8', 639, -371, '8', '16', '15.62']
['ETH-USD', '5m', 'NM3VI', '2021-08-01', '2021-09-25', '46', '10.6', '-8.24', 93, '39', '2.23', '11.27', '4', '7', 612, -335, '18', '28', '15.62']
['ETH-USD', '5m', '<VWgI', '2021-08-01', '2021-09-25', '55', '8.08', '-9.56', 66, '36', '1.5', '6.89', '4', '9', 862, -274, '20', '35', '15.62']
['ETH-USD', '5m', '1;jOa', '2021-08-01', '2021-09-25', '77', '7.61', '-9.53', 61, '32', '1.46', '6.43', '3', '6', 933, -230, '25', '52', '15.62']
['ETH-USD', '5m', '8j[UI', '2021-08-01', '2021-09-25', '39', '3.75', '-12.0', 27, '28', '0.81', '2.26', '2', '5', 697, -374, '11', '28', '15.62']
['ETH-USD', '5m', '<cJ77', '2021-08-01', '2021-09-25', '42', '5.85', '-10.38', 45, '31', '1.16', '4.32', '3', '5', 864, -376, '13', '29', '15.62']
['ETH-USD', '5m', 'K3v5u', '2021-08-01', '2021-09-25', '57', '13.2', '-6.99', 124, '49', '2.62', '17.79', '5', '4', 519, -200, '28', '29', '15.62']
['ETH-USD', '5m', 'EAnK*', '2021-08-01', '2021-09-25', '62', '2.27', '-16.2', 16, '39', '0.57', '0.97', '4', '10', 615, -248, '24', '38', '15.62']
