['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['ZRX-USDT', '30m', 'ZRX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LRC-USDT', '30m', 'LRC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RSR-USDT', '30m', 'RSR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NKN-USDT', '30m', 'NKN-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SC-USDT', '30m', 'SC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAT-USDT', '30m', 'BAT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ATA-USDT', '30m', 'ATA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GTC-USDT', '30m', 'GTC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KNC-USDT', '30m', 'KNC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XEM-USDT', '30m', 'XEM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OCEAN-USDT', '30m', 'OCEAN-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CELO-USDT', '30m', 'CELO-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNFI-USDT', '30m', 'UNFI-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ANKR-USDT', '30m', 'ANKR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DGB-USDT', '30m', 'DGB-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DEFI-USDT', '30m', 'DEFI-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTCDOM-USDT', '30m', 'BTCDOM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
